Review	Liked
ConsDisplayComeswithwaterdropnotchandnoticablebezzels.Chargeryouhavetospendadditionalonitschargerasgreedysamsungwontprovideforit.Theytellyouitsforenvironmentwhichistotalbullshitastheyuseevenmoreresourcesinadditionalpackagingetc.Cameralacksultrawidecamera.NotforGaming.ProsdisplayQualityofPLSLCDisreallygoodyouwillenjoyvideoqualityinthis.speakereventhouithasonespeakeritsreallyloudandclystalclear.callqualityitstopnotchasthishastwomicandtheyalsoprovidepremiumsamsungfeaturevoicefocusinthisalsonetworkisverystable.cameraOnlyonecameraisusefulwhileothertwoworkliketheyarefordisplayimageprocessingandvideoqualityisreallygood.	1
For day to day use this smartphone is easily capable of doing all things  if you use your phone as a tool that is. It will deliver all your needs. Though with some lags here and there you will not regret it because of the   k price bracket. Battery almost gets   full day on normal use with  G. If you use your ur phone all day then you have to charge in the middle. Simple games also runs effectively but not for heavy games like BGMI only gives   fps  though its very clear this smartphone is not targeted for gaming audience. If u want a budget phone to do daily stuff browsing  social media  whatsapp  payments  camera etc with good after sales service and from a prominent brand with no bugs and glitches here and there then u won t have any issue. Good for old people too.	1
I brought it for my mom. It s a very good smart phone. Camera quality is very good and image processing of Samsung is nice. Battery performance is excellent. Processor of this phone is good for day to day tasks. My mother is very much impressed with call quality. Only drawback is there is no charging adaptor in the box. I had purchased it separately with 9 rs..	1
I have bought this phone as a temprary replacement for my S   after that phone developed display issues. So far its xoing well. The standout point of this phone is its excellent battery. My S   usually lasted about      hrs on medium usage. This phone however has lasted     hours.I will update about the other features some days later.	1
display is pretty  but call quality is bit compromised for budget i think  batteryfast charging for namesake   G connectivity are good  camera is average  single speaker is nothing to be singled out but sound via headphones i use Bluetooth jbl  boat  is great and can do quite a bit of heavy gaming ...my verdict....shed a bit more money if one can and go for redmi     G.	1
Mobile battery camera and ram is good  thank you amazon fast delivery  mobile is over heating and no provide the power adaptor take the complaint and forward the mail samsung company  very bad   k investment and take the mobile but not provided charger adaptor    v power adaptor provide the all samsung mobies please	1
Justifying price. Carrier aggregation is available in  G. Battery life is great. Feels smoth.  G network is also good. Camera is good considering in this price. Phone is little heavier side. Network speed feature is not there.This phone is for medium  users. Samsung should provide fast charger   back cover.	1
bulky  fast charging for namesake  no status light  audio quality not good	1
Good in battery backupHeavy weightSlow phone  not fast as   gb ramCamera quality should be betterSpecially front camera during videocall	1
Phone is overall good having lots of features   but the material used in back feels bit cheaper . Phone official weight is   grams but the weight distribution makes it easier and light to carry   fonts and wallpapers are paid not more options  colour pallete is available only on default theme   camera quality is impressive i think best camera in this range   battery is also good just charge it once a day and forget for   days   software and hardware performance is excellent  little bit warmed up on heavy task bt u can egnore it   I prefer the   GB Ram variant .	1
